feature,mean_abs_shap
mouseKOScore,0.76831853
geneticConstraint,0.5273642
mouseOrthologMaxIdentityPercentage,0.5171062
hasSmallMoleculeBinder,0.44029966
hasHighQualityChemicalProbes,0.32907298
paralogMaxIdentityPercentage,0.3249109
hasLigand,0.3152227
tissueSpecificity,0.22302598
hasPocket,0.21237452
tissueDistribution,0.17433597
isInMembrane,0.16549322
isSecreted,0.08893169
plof_respiratory_min_p,0.016589047
expr_organ_Heart,0.01633792
isCancerDriverGene,0.015907168
plof_musculoskeletal_max_beta,0.013790841
expr_lymph_tcell,0.010196137
plof_n_phenotypes,0.01003349
loeuf_score,0.008815888
expr_bm_erythroblasts,0.008586968
plof_hematologic_max_beta,0.007442204
expr_lung_type2,0.007364097
expr_brain_neurons_pct,0.0064924792
plof_min_pval,0.005774749
expr_brain_microglia,0.004545075
hasTEP,0.004337543
expr_brain_neurons,0.004297905
plof_cardiovascular_min_p,0.0039006744
plof_hematologic_min_p,0.0037371214
expr_heart_cardiomyocytes,0.0035122295
expr_organ_Muscle,0.0034034322
expr_liver_hepatocytes,0.0032687392
expr_organ_Pancreas,0.0031113606
plof_respiratory_max_beta,0.003000921
expr_muscle_skeletal,0.0028586509
expr_organ_Intestine,0.0027675645
expr_organ_Breast,0.0026640743
plof_max_abs_beta,0.002536237
expr_organ_Bone marrow,0.0025290027
expr_kidney_proximal,0.0021817372
expr_bm_megakaryocytes_pct,0.0021702743
plof_cardiovascular_max_beta,0.0021300805
expr_organ_Liver,0.0020108256
expr_organ_Adrenal,0.0019181026
plof_neurological_min_p,0.001886695
expr_bm_megakaryocytes,0.001867745
plof_musculoskeletal_min_p,0.001839388
plof_neurological_max_beta,0.001751938
expr_muscle_skeletal_pct,0.0014915023
expr_organ_Lymph node,0.0014707522
expr_lymph_tcell_pct,0.0014694673
expr_organ_Lung,0.0013863529
expr_lung_type1_pct,0.0013847463
expr_lung_type1,0.0013711193
expr_bm_erythroblasts_pct,0.001355379
expr_pancreas_beta,0.0012713542
expr_heart_cardiomyocytes_pct,0.00117952
expr_organ_Brain,0.0011211265
plof_renal_min_p,0.0010208338
expr_organ_Kidney,0.0009767758
plof_hepatic_max_beta,0.0009443799
expr_liver_hepatocytes_pct,0.00091006316
expr_organ_Spleen,0.00076125254
plof_renal_max_beta,0.0006874189
expr_organ_Skin,0.0006626106
expr_brain_microglia_pct,0.0005792852
expr_lung_type2_pct,0.0004614658
plof_hepatic_min_p,0.0004560513
expr_pancreas_beta_pct,0.00035129552
expr_kidney_proximal_pct,0.00025090683
plof_n_sig,0.0
